year,country,threshold_exp,currency_exp,exchangerate_exp,threshold_exp_eur,threshold_imp,currency_imp,exchangerate_imp,threshold_imp_eur,comments
1995,"AT",1500000,"ATS",.07267283,109009,1500000,"ATS",.07267283,109009,""
1996,"AT",1500000,"ATS",.07267283,109009,1500000,"ATS",.07267283,109009,""
1997,"AT",1500000,"ATS",.07267283,109009,1500000,"ATS",.07267283,109009,""
1998,"AT",1500000,"ATS",.07267283,109009,1500000,"ATS",.07267283,109009,""
1999,"AT",145000,"EUR",1,145000,145000,"EUR",1,145000,""
2000,"AT",145000,"EUR",1,145000,145000,"EUR",1,145000,""
2001,"AT",145000,"EUR",1,145000,145000,"EUR",1,145000,""
2002,"AT",200000,"EUR",1,200000,200000,"EUR",1,200000,""
2003,"AT",200000,"EUR",1,200000,200000,"EUR",1,200000,""
2004,"AT",250000,"EUR",1,250000,250000,"EUR",1,250000,""
2005,"AT",250000,"EUR",1,250000,250000,"EUR",1,250000,""
2006,"AT",250000,"EUR",1,250000,250000,"EUR",1,250000,""
2007,"AT",300000,"EUR",1,300000,300000,"EUR",1,300000,""
2008,"AT",300000,"EUR",1,300000,300000,"EUR",1,300000,""
2009,"AT",300000,"EUR",1,300000,300000,"EUR",1,300000,""
2010,"AT",500000,"EUR",1,500000,500000,"EUR",1,500000,"https://www.ris.bka.gv.at/Dokumente/Begut/BEGUT_COO_2026_100_2_768580/COO_2026_100_2_768882.pdf"
2011,"AT",500000,"EUR",1,500000,500000,"EUR",1,500000,""
2012,"AT",500000,"EUR",1,500000,500000,"EUR",1,500000,""
2013,"AT",550000,"EUR",1,550000,550000,"EUR",1,550000,""
2014,"AT",550000,"EUR",1,550000,550000,"EUR",1,550000,""
2015,"AT",750000,"EUR",1,750000,750000,"EUR",1,750000,""
2016,"AT",750000,"EUR",1,750000,750000,"EUR",1,750000,""
2017,"AT",750000,"EUR",1,750000,750000,"EUR",1,750000,""
2018,"AT",750000,"EUR",1,750000,750000,"EUR",1,750000,""
2019,"AT",750000,"EUR",1,750000,750000,"EUR",1,750000,""
1993,"BE",4200000,"BEF",.024789,104114,4200000,"BEF",.024789,104114,""
1994,"BE",4200000,"BEF",.024789,104114,4200000,"BEF",.024789,104114,""
1995,"BE",4200000,"BEF",.024789,104114,4200000,"BEF",.024789,104114,""
1996,"BE",4200000,"BEF",.024789,104114,4200000,"BEF",.024789,104114,""
